,fact_check_id,post_id
2993,33419,20769
24738,136850,2893
1294,21784,13102
16783,91637,14424
5721,45670,12201
1374,22195,18177
24080,133400,2824
13489,79680,13125
30976,205447,27202
17143,93800,1542
27744,147732,18781
12798,74949,17399
17683,96585,7705
24086,133436,22689
27537,147095,18133
20163,106202,2569
2913,32997,6971
4127,37489,17650
15151,83718,9724
10564,62054,7148
5576,45430,11042
17484,95957,17047
16360,89410,10169
8608,54380,27377
25816,140217,16630
5526,45280,5139
29164,166180,23054
20545,107784,9652
25332,138150,15757
13609,80020,18412
4353,39353,8362
23078,125004,25147
29734,175992,3906
6159,48781,18929
2165,27991,11819
24729,136832,16136
27327,145128,6116
799,14893,10764
896,17654,20806
15938,87280,5905
18097,98645,15453
27051,144330,24663
6183,49036,20937
16386,89559,12197
3745,36534,7449
19135,103080,24723
31291,205718,26646
8080,53828,17915
7927,53732,13074
29176,166312,23092
