post_id,instances,ocr,verdicts,text
25655,"[(1657129860.0, 'fb')]","[('WE WILL NOT\nBE INTIMIDATED\nANAKKA', 'WE WILL NOT\nBE INTIMIDATED\nANAKKA', [('eng', 0.9159843325614929)])]",['False information'],"('“We are not going to be intimidated. We are not going to back down... President Trump won by a landslide. We are going to prove it, and we are going to reclaim the United States of America for the people who vote for freedom.” 🇺🇸', '“We are not going to be intimidated. We are not going to back down... President Trump won by a landslide. We are going to prove it, and we are going to reclaim the United States of America for the people who vote for freedom.” 🇺🇸', [('eng', 1.0)])"
15266,"[(1647538357.0, 'fb')]","[('QUE PASA SI VAS A VOTAR\nsi se junta el 40% de la lista nominal\n(por ir a votar) se vuelve\nVINCULATORIA (obligatorio), entonces\nTAMBIÉN PUEDE PEDIRSE EN OTRA\nLA AMPLIACIÓN DE MANDATO (ya se\nvolvió vinculante / obligatorio)\nEL 40% ES LA SUMA DE AMBOS\nVOTOS (el vete y el quedate)\nQUE PASA SI NO VAS A VOTAR\nSe vera realmente el apoyo que tiene\ncon los que voten que se quede Y\nNO SE VUELVE VINCULANTE\nEntonces no se puede ampliar el mandato\nPORQUE NO SE JUNTA EL 40%\nPOR ESO LES URGE QUE VAYAMOS\n""TODOS A VOTAR"" PARA QUE LOS\nQUE QUEREMOS QUE SE VAYA LE\nDEMOS CON NUESTRO VOTO EL\nPORCENTAJE Y PODER DE QUE SE\nQUEDE, ESA ES LA TRAMPA', 'WHAT HAPPENS IF YOU GO TO VOTE\nif 40% of the nominal list is gathered\n(for going to vote) turns\nBINDING (required), then\nYOU CAN ALSO ORDER IN ANOTHER\nTHE EXTENSION OF THE MANDATE (already\nbecame binding/mandatory)\n40% IS THE SUM OF BOTH\nVOTES (go and stay)\nWHAT HAPPENS IF YOU ARE NOT GOING TO VOTE\nYou will really see the support you have\nwith those who vote that he stays\nDOES NOT BECOME BINDING\nThen the mandate cannot be extended\nBECAUSE THE 40% DOES NOT COME TOGETHER\nTHAT\'S WHY YOU URGE US TO GO\n""EVERYONE TO VOTE"" FOR THE\nWE WANT YOU TO GO\nWE GIVE WITH OUR VOTE THE\nPERCENTAGE AND POWER OF SEEING\nSTAY, THAT\'S THE TRAP', [('spa', 1.0)])]",['Partly false information'],"('No hay que votar por su circo. No son elecciones. Solo es un capricho mas del pejidente. Di no a esa consulta popular', ""You don't have to vote for your circus. They are not elections. It's just one more whim of the pejidente. Say no to that popular consultation"", [('spa', 1.0)])"
20117,"[(1631707156.0, 'fb')]","[('CDC BESTÄTIGT:\nKEIN NACHWEIS\nVOM VIRUS!\nPE\nDa derzeit keine\nquantifizierten Virus-Isolate\ndes 2019-nCoV verfügbar\nsind...\nCDC 2019-NOVEL CORONAVIRUS (2019-NCOV) REAL-TIME RT-PCR DIAGNOSTIC PANEL\n@UNBLOGD', 'CDC CONFIRMED:\nNO PROOF\nFROM THE VIRUS!\nPE\nSince none at the moment\nquantified virus isolates\nof the 2019-nCoV available\nare...\nCDC 2019-NOVEL CORONAVIRUS (2019-NCOV) REAL-TIME RT-PCR DIAGNOSTIC PANEL\n@UNBLOGD', [('deu', 0.4791955053806305), ('eng', 0.39752328395843506), ('lb', 0.11929839104413986)])]",['False information'],"('US-Gesundheitsbehörde kann Virusexistenz nicht nachweisen❗️❗️❗️\nImagine my shock…\n\nNachtigall ick hör dir trapsen😊\n\nQuelle: https://body-effects.com/gesundheitsbehoerde-der-usa:-existenz-des-covid-19-virus-wissenschaftlich-nicht-belegt/\n\nUND AUCH DAS WIRD VIELE WEITERHIN IM DORNRÖSCHENSCHLAF HALTEN.\n\nEingeständnisse sind schwer, ich weiß aber sie befreien auch, dass könnt ihr mir glauben❤️', 'US health agency cannot prove virus existence❗️❗️❗️\nImagine my shock...\n\nNightingale I hear you traps😊\n\nSource: https://body-effects.com/gesundheitsbehoerde-der-usa:-existenz-des-covid-19-virus-scientifically-not-proven/\n\nAND THAT, ALSO, WILL CONTINUE TO KEEP MANY SLEEPING BEAUTIES.\n\nConfessions are hard, I know but they also free you, believe me ❤️', [('deu', 1.0)])"
18483,"[(1604912973.0, 'fb')]","[('""La llegada de Fidel Castro es\nlo peor que le pudo pasar a Cuba.\nMi abuelo perdió su industria\nazucarera y sus esclavos\nse quedaron sin empleo fijo""\n(Rocío Monasterio)\n2020', '""The arrival of Fidel Castro is\nthe worst thing that could happen to Cuba.\nMy grandfather lost his industry\nsugar factory and its slaves\nthey were left without permanent employment""\n(Dew Monastery)\n2020', [('spa', 0.9715864658355713)])]",['False information'],"('Sin comentarios.', 'No comment.', [('spa', 1.0)])"
11516,"[(None, 'fb')]",[],[],"('Hoy cobra tanto sentido este poema Mario Benedetti Cuando la tormenta pase Y se amansen los caminos  y seamos sobrevivientes  de un naufragio colectivo.  Con el corazón lloroso y el destino bendecido nos sentiremos dichosos tan sólo por estar vivos. Y le daremos un abrazo  al primer desconocido y alabaremos la suerte de conservar un amigo. Y entonces recordaremos todo aquello que perdimos y de una vez aprenderemos  todo lo que no aprendimos. Ya no tendremos envidia pues todos habrán sufrido.  Ya no tendremos desidia  Seremos más compasivos.  Valdrá más lo que es de todos  Que lo jamas conseguido Seremos más generosos Y mucho más comprometidos Entenderemos lo frágil  que significa estar vivos Sudaremos empatía  por quien está y quien se ha ido. Extrañaremos al viejo  que pedía un peso en el mercado, que no supimos su nombre y siempre estuvo a tu lado. Y quizás el viejo pobre era tu Dios disfrazado.  Nunca preguntaste el nombre porque estabas apurado. Y todo será un milagro Y todo será un legado Y se respetará la vida,  la vida que hemos ganado.  Cuando la tormenta pase te pido Dios, apenado,  que nos devuelvas mejores,  como nos habías soñado.', ""Today this poem makes so much sense Mario Benedetti When the storm passes And the roads are tamed and we are survivors of a collective shipwreck. With a tearful heart and a blessed destiny, we will feel happy just for being alive. And we will give a hug to the first stranger and we will praise the luck of keeping a friend. And then we will remember everything that we lost and at once we will learn everything that we did not learn. We will no longer be envious because everyone will have suffered. We will no longer have apathy We will be more compassionate. What belongs to everyone will be worth more Than ever achieved We will be more generous And much more committed We will understand how fragile it means to be alive We will sweat empathy for who is and who is gone. We will miss the old man who asked for a peso in the market, we didn't know his name and he was always by your side. And maybe the poor old man was your God in disguise. You never asked the name because you were in a hurry. And everything will be a miracle And everything will be a legacy And life will be respected, the life we have earned. When the storm passes I ask God, sorry, that you give us back better, as you had dreamed of us."", [('spa', 1.0)])"
25374,"[(1609663521.0, 'fb')]","[('O REDMI NOTE 8\nCO AI QUAD CAMERA', 'O REDMI NOTE 8\nCO AI QUAD CAMERA', [('eng', 0.5383056402206421)]), ('O REDMI NOTE 8\nCO AI QUAD CAMERA', 'O REDMI NOTE 8\nCO AI QUAD CAMERA', [('eng', 0.5383056402206421)]), ('accutor Natea\nCO DUAL CAMERA', 'accutor Natea\nCO DUAL CAMERA', [('ron', 0.5011917352676392), ('eng', 0.49880826473236084)]), ('DO\nPAR REDMI NOTE B\nAQUAD CAMERA', 'DO\nPAR REDMI NOTE B\nAQUAD CAMERA', [('fra', 0.4869602918624878), ('eng', 0.4757208228111267)])]",['False information.'],"('ဘယ္ၿမိဳ႕နယ္ေတာ့မသိ....မဲသူခိုးေတြ\nအစေဖ်ာက္ေနၿပီေလ....\nအဲ့ဒါ  ရာဇာဝတ္မႈဘဲ....\nခိုးတုန္းကခိုးၿပီး၊ဘာအခုမွေၾကာက္ေနရ\nသလဲမဲသူခိုးေတြေရ....\n\nPa DaungThar.', ""I don't know which township....Vote thieves\nIt's starting to disappear...\nThat's royal worship....\nWhen I stole, I was afraid of nothing\nVote thieves....\n\nPa Daung Thar."", [('mya', 1.0)])"
19243,"[(1610321832.0, 'fb')]",[],['False information.'],"('The Insurrection Act has been signed, arrests are being made and everything we’ve talked about for months is happening. This is not a drill. \n\nIf you’re prepared, shelter in place, most of the big action will be done in a week, mop up another 30 days. Trump has prepared for this, don’t worry about the military flights and equipment. It needs to happen. \n\nI’ll continue updates.', 'The Insurrection Act has been signed, arrests are being made and everything we’ve talked about for months is happening. This is not a drill. \n\nIf you’re prepared, shelter in place, most of the big action will be done in a week, mop up another 30 days. Trump has prepared for this, don’t worry about the military flights and equipment. It needs to happen. \n\nI’ll continue updates.', [('eng', 1.0)])"
8149,"[(1618940083.0, 'fb')]",[],['False information.'],"('DUE TO THE GROWING RECOGNITION THAT UNVA33INATED HEALTHY WOMEN ARE BEING ASSAULTED AND HARMED BY THE BIOLOGICAL EMISSIONS OF THE RECENTLY ‘VA33INATED’, IT IS NOW TIME FOR US TO DEMAND THE RECENTLY “VA33INATED” BE KEPT AWAY FROM ALL OTHERS DUE TO THE PROFOUND THREAT THAT THEY POSE TO PUBLIC HEALTH AND HUMAN FERTILITY', 'DUE TO THE GROWING RECOGNITION THAT UNVA33INATED HEALTHY WOMEN ARE BEING ASSAULTED AND HARMED BY THE BIOLOGICAL EMISSIONS OF THE RECENTLY ‘VA33INATED’, IT IS NOW TIME FOR US TO DEMAND THE RECENTLY “VA33INATED” BE KEPT AWAY FROM ALL OTHERS DUE TO THE PROFOUND THREAT THAT THEY POSE TO PUBLIC HEALTH AND HUMAN FERTILITY', [('eng', 1.0)])"
27813,"[(1656385998.0, 'fb')]",[],['Partly false information.'],"('🚨EL JUEGO DEL CALAMAR LA SERIE DE NEFLIX YA DEJA EL PRIMER NIÑO MUERTO EN COLOMBIA.\n\nAtención padres de familias a los niños de nuestro territorio, se pudo conocer que ya están iniciando a jugar el juego del calamar causando la primera tragedia.\n\nEl niño fue encontrado sin vida luego de jugar al famoso juego, se presume que su mismo padre fue quien le quitó la vida al menor argumentando que ganó.\n\nMuchos padres de familia piden a neflix la eliminación por completo de la serie ya que es muy sangrienta e invita a la muerte.\n\nUsted que opina de esto?', '🚨THE SQUID GAME THE NEFLIX SERIES ALREADY LEAVES THE FIRST CHILD DEAD IN COLOMBIA.\n\nAttention parents of families to the children of our territory, it was learned that they are already starting to play the squid game causing the first tragedy.\n\nThe boy was found dead after playing the famous game, it is presumed that his own father was the one who took the life of the minor, arguing that he won.\n\nMany parents ask Netflix to completely eliminate the series as it is very bloody and invites death.\n\nWhat do you think about this?', [('spa', 1.0)])"
7491,"[(1545298413.0, 'fb')]",[],['False information'],"('Cet image nous dit que tout passera mais la parole de DIEU Ne passera jamais !\n\nAmen.', 'This image tells us that everything will pass but the word of GOD will never pass!\n\nAmen.', [('fra', 1.0)])"
