fact_check_id,claim,instances,title
8701,"('1.713.566 assinaturas podem tirar o mandato de sete senadores', '1,713,566 signatures could take seven senators out of office', [('por', 1.0)])","[(1625011080.0, 'https://www.aosfatos.org/noticias/e-falso-que-mandatos-de-senadores-podem-ser-cassados-com-abaixo-assinado/#a559ae2336921b206e543471cdfe19ea')]","('É falso que mandatos de senadores podem ser cassados com abaixo-assinado', ""It is false that senators' mandates can be revoked with a petition"", [('por', 1.0)])"
112305,"('Rapid antigen test kits produced in Sri Lanka for sale', 'Rapid antigen test kits produced in Sri Lanka for sale', [('eng', 1.0)])","[(1630042260.0, 'https://factcheck.afp.com/http%253A%252F%252Fdoc.afp.com%252F9LL8DG-1#e690d150c85a54104c057ec8e3515dc6')]","('Hoax advert touting cheap Covid-19 tests circulates in Sri Lanka', 'Hoax advert touting cheap Covid-19 tests circulates in Sri Lanka', [('eng', 1.0)])"
25329,"('Angela Merkel hat diesen Satz gesagt.', 'Angela Merkel said this sentence.', [('deu', 1.0)])","[(1606995720.0, 'https://faktencheck.afp.com/dieses-zitat-stammt-nicht-von-angela-merkel-sondern-aus-einem-film-ueber-sie#5fdf8026e113681584fcfbbc64a6064e')]","('Dieses Zitat stammt nicht von Angela Merkel, sondern aus einem Film über sie', 'This quote is not from Angela Merkel, but from a film about her', [('deu', 1.0)])"
37294,"('China and Japan back on COVID-19 lockdown', 'China and Japan back on COVID-19 lockdown', [('eng', 1.0)])","[(1590385380.0, 'https://factcheck.afp.com/misleading-claim-circulates-online-china-and-japan-have-re-entered-nationwide-coronavirus-lockdowns#4b3e37208e8da0ec02a01b05730a60e5')]","('Misleading claim circulates online that China and Japan have re-entered nationwide coronavirus lockdowns in May 2020', 'Misleading claim circulates online that China and Japan have re-entered nationwide coronavirus lockdowns in May 2020', [('eng', 1.0)])"
52873,"('Encuesta de ISAC da una ventaja de 10 puntos a Nasry Asfura', 'ISAC poll gives Nasry Asfura a 10-point lead', [('spa', 1.0)])","[(1638212580.0, 'https://factual.afp.com/http%253A%252F%252Fdoc.afp.com%252F9TM2PQ-1#5efe1f46005620e720b2ba47f57174ce')]","('Ninguna encuestadora llamada ISAC ha emitido resultados electorales en Honduras', 'No pollster called ISAC has issued electoral results in Honduras', [('spa', 1.0)])"
113947,"('Robert Habeck würde eher Menschen verhungern lassen, als Sanktionen gegen Russland aufzuheben.', 'Robert Habeck would rather starve than lift sanctions on Russia.', [('deu', 1.0)])","[(1654819080.0, 'https://dpa-factchecking.com/germany/220602-99-519885/#58207c7cda8f34fd2d67f7766ad3323e')]","('Habeck-Aussagen wurden aus dem Kontext gerissen und verdreht', 'Habeck statements were taken out of context and twisted', [('deu', 1.0)])"
107823,"('Portada de Publimetro muestra órdenes de aprehensión contra políticos de Michoacán', 'Cover of Publimetro shows arrest warrants against politicians from Michoacán', [('spa', 1.0)])","[(1623022380.0, 'https://factual.afp.com/portada-de-publimetro-con-orden-de-aprehension-contra-politicos-en-michoacan-es-un-montaje#b8539fb4c1d3a4ff7998899bd2b1cbde')]","('Portada de Publimetro con orden de aprehensión contra políticos en Michoacán es un montaje', 'Publimetro cover with arrest warrant against politicians in Michoacán is a montage', [('spa', 1.0)])"
66840,"('Huracán Delta llegando a Cancún', 'Hurricane Delta arriving in Cancun', [('spa', 1.0)])","[(1602192240.0, 'https://factual.afp.com/el-video-de-nubes-tormentosas-en-una-playa-fue-tomado-en-eeuu-sin-relacion-con-el-huracan-delta#f21872d53b6b379db79d64a9523fc322')]","('El video de nubes tormentosas en una playa fue tomado en EEUU, sin relación con el huracán Delta', 'The video of storm clouds on a beach was taken in the US, unrelated to Hurricane Delta', [('spa', 1.0)])"
168481,"('روسيا تنشر فيديوهات افتراضية لقصف باريس وانطلاق الحرب العالمية الثالثة .', 'Russia publishes virtual videos of the bombing of Paris and the start of World War III.', [('ara', 1.0)])","[(1647277080.0, 'https://factual.afp.com/ar/doc.afp.com.32666FJ#dada17b834cffcd2bef70babfd01f3e5'), (1647277080.0, 'https://factuel.afp.com/ar/doc.afp.com.32666FJ#dada17b834cffcd2bef70babfd01f3e5')]","('هذا ليس فيديو نشرته روسيا لتهديد باريس بل عملٌ لمخرج فرنسيّ لحثّ الغرب على فرض حظر جويّ فوق أوكرانيا', 'This is not a video published by Russia threatening Paris, but a work by a French director to urge the West to impose a no-fly zone over Ukraine.', [('ara', 1.0)])"
65594,"('Hidroxicloroquina usada há mais de 60 anos não pode. Não tem comprovação científica. Mas vacina nova da China pode. É segura.', ""Hydroxychloroquine used for more than 60 years cannot. It has no scientific proof. But China's new vaccine can. It's safe."", [('por', 1.0)])","[(1594915140.0, 'https://checamos.afp.com/hidroxicloroquina-nao-foi-regulamentada-para-tratar-covid-19-no-brasil-vacina-segue-em-fase-de#e33f11fc134c2f20243c8376ef065660')]","('A hidroxicloroquina não foi regulamentada para tratar a COVID-19 no Brasil; a vacina segue em fase de testes', 'Hydroxychloroquine has not been regulated to treat COVID-19 in Brazil; The vaccine is still in the testing phase', [('por', 1.0)])"
