fact_check_id,claim,instances,title
103080,"('Photo of Muslim woman protesting against burqa in Sri Lanka', 'Photo of Muslim woman protesting against burqa in Sri Lanka', [('eng', 1.0)])","[(1582774140.0, 'https://factcheck.afp.com/image-has-been-doctored-image-anti-citizenship-law-protester-india#75a7f0090aff8654f8786c653df50e5b')]","('This image has been doctored from an image of an anti-citizenship law protester in India', 'This image has been doctored from an image of an anti-citizenship law protester in India', [('eng', 1.0)])"
21784,"('Afiche de la comunidad LGBTQ incluye a los pedófilos LGBTP', 'LGBTQ Community Poster Includes LGBTP Pedophiles', [('spa', 1.0)])","[(1591225980.0, 'https://factual.afp.com/las-siglas-lgbtp-no-se-usan-para-describir-la-comunidad-lgbtq-aseguran-expertos#9339a7e293f6cb95bb3d3337e4622783')]","('Las siglas “LGBTP” no se usan para describir a la comunidad LGBTQ, aseguran expertos', 'The acronym “LGBTP” is not used to describe the LGBTQ community, experts say', [('spa', 1.0)])"
106202,"('Picture shows those deceased from COVID-19 in Italy', 'Picture shows those deceased from COVID-19 in Italy', [('eng', 1.0)])","[(1585208340.0, 'https://factcheck.afp.com/photo-shows-coffins-dead-migrants-after-boat-capsized-coast-italy-2013#aeb57f790289118552d14182e99b70a2')]","('This photo shows coffins for dead migrants after a boat capsized off the coast of Italy in 2013', 'This photo shows coffins for dead migrants after a boat capsized off the coast of Italy in 2013', [('eng', 1.0)])"
39353,"('Colombia pidió refuerzos a Estados Unidos para combatir el terrorismo en Venezuela', 'Colombia asked the United States for reinforcements to combat terrorism in Venezuela', [('spa', 1.0)])","[(1576253220.0, 'https://factual.afp.com/la-resolucion-1373-de-la-onu-no-permite-pedir-refuerzos-contra-el-terrorismo-y-el-video-de-la#13267cd339a32ee47ce078f074352342')]","('La resolución 1373 de la ONU no permite pedir refuerzos contra el terrorismo y el video de la publicación fue grabado en Siria', 'UN resolution 1373 does not allow requesting reinforcements against terrorism and the video of the publication was recorded in Syria', [('spa', 1.0)])"
45430,"('Die Wiener Polizei schloss sich einer Corona-Demo an.', 'The Vienna police joined a Corona demo.', [('deu', 1.0)])","[(1612797960.0, 'https://faktencheck.afp.com/die-helmlose-polizei-drueckte-damit-keine-solidaritaet-fuer-corona-demo-wien-aus#5978316da1599d4a2c914f93b481090b')]","('Die helmlose Polizei drückte damit keine Solidarität für Corona-Demo in Wien aus', 'The helmetless police did not express any solidarity for the Corona demo in Vienna', [('deu', 1.0)])"
145128,"('Video yang diklaim sebagai video banjir bandang di Sukabumi pada 21 September 2020', 'Video claimed to be a flash flood video in Sukabumi on September 21, 2020', [('msa', 1.0)])","[(1600819080.0, 'https://cekfakta.tempo.co/fakta/1022/fakta-atau-hoaks-benarkah-ini-video-banjir-bandang-di-sukabumi-pada-21-september-2020#de52f7bb46e647282f4ee74dab117cb3')]","('[Fakta atau Hoaks] Benarkah Ini Video Banjir Bandang di Sukabumi pada 21 September 2020?', '[Facts or Hoaxes] Is This Really a Flash Flood Video in Sukabumi on September 21, 2020?', [('msa', 1.0)])"
138150,"(""Une plateforme à 3 euros la minute pour les demandeurs d'asile ?"", 'A platform at 3 euros per minute for asylum seekers?', [('fra', 1.0)])","[(1581693720.0, 'https://factuel.afp.com/non-ceci-nest-pas-un-numero-de-telephone-3eumin-pour-les-demarches-administratives-des-refugies#2102ae7b4ff7615980916914b077896d')]","(""Non, ceci n'est pas un numéro de téléphone à 3€/min pour les démarches administratives des réfugiés"", 'No, this is not a 3€/min telephone number for administrative procedures for refugees', [('fra', 1.0)])"
133400,"('Toureiro sente remorso na hora de matar o touro. Touro tem pena de atacar toureiro.', 'Bullfighter feels remorse when killing the bull. Taurus is sorry to attack bullfighter.', [('por', 1.0)])","[(1544621520.0, 'https://checamos.afp.com/nao-esta-foto-nao-mostra-um-toureiro-tendo-uma-crise-de-remorso#aa44ea74ab8a9f40bfe71e04871c1aa5')]","('Não, esta foto não mostra um toureiro tendo uma crise de remorso', 'No, this photo does not show a bullfighter having a fit of remorse.', [('por', 1.0)])"
53732,"('Esta es una fotografía del multimillonario chino Jack Ma cuando era niño', 'This is a photograph of Chinese billionaire Jack Ma as a child', [('spa', 1.0)])","[(1599760260.0, 'https://factual.afp.com/la-foto-no-es-del-empresario-jack-ma-sino-de-un-nino-pobre-que-se-hizo-famoso-por-parecerse-el#742e382f430d36e4e835ac07e8be62e2')]","('La foto no es del empresario Jack Ma, sino de un niño pobre que se hizo famoso por parecerse a él', 'The photo is not of businessman Jack Ma, but of a poor boy who became famous for looking like him', [('spa', 1.0)])"
91637,"('Médicos están operando al coronavirus cuando uno de ellos cae', 'Doctors are operating on the coronavirus when one of them falls', [('spa', 1.0)])","[(1582843920.0, 'https://factual.afp.com/no-el-coronavirus-no-se-puede-operar#9b70cccfe0c15478d0099ccc2836c4d0')]","('No, el coronavirus no se puede operar', 'No, the coronavirus cannot be operated', [('spa', 1.0)])"
166312,"('باريس تتضامن مع العراق 🇫🇷 🇮🇶❤️ وتضيئ برج إيفل بلون العلم العراقي بدء العالم يسمع صوتنا ✌️🇮🇶', 'Paris stands in solidarity with Iraq 🇫🇷 🇮🇶❤️ And lights the Eiffel Tower in the color of the Iraqi flag The world begins to hear our voice ✌️🇮🇶', [('ara', 1.0)])","[(1572528240.0, 'https://factuel.afp.com/ar/Belgian%20not%20Iraqi%20flag%20on%20tour%20Eiffel#1951a40825be0116f83aec3d6d42e6d2')]","('هذه الصورة لا تظهر إضاءة برج إيفل بالعلم العراقي', 'This picture does not show the lighting of the Eiffel Tower with the Iraqi flag', [('ara', 1.0)])"
48781,"('Dětem hrozí povinné čipování ve školách', 'Children are at risk of compulsory chipping in schools', [('ces', 1.0)])","[(1595419980.0, 'https://napravoumiru.afp.com/ne-ceskym-detem-nehrozi-plosne-cipovani#e2a3e99ddc1e00f13c843c0381e023ec')]","('Ne, českým dětem nehrozí plošné čipování', 'No, Czech children are not at risk of widespread chipping', [('ces', 1.0)])"
166180,"('انطلاق حملة المقرونه من قابس يرفع علم إسرائيل', 'Al-Maqrona campaign launched from Gabes, raising the flag of Israel', [('ara', 1.0)])","[(1570878240.0, 'https://factuel.afp.com/ar/Karaoui%20Israel%20flags#629a7f64ec757cbcfdb84e19c339adaa')]","('هذه الصورة لسيّارة تحمل صور القروي وأعلاماً اسرائيليّة مركّبة', 'This picture is of a car carrying pictures of the villager and installed Israeli flags', [('ara', 1.0)])"
140217,"('Victorian Premier Daniel Andrews has a net worth of $91 million', 'Victorian Premier Daniel Andrews has a net worth of $91 million', [('eng', 1.0)])","[(1603447080.0, 'https://factcheck.afp.com/social-media-posts-share-misleading-claim-australias-victoria-state-premier-has-net-worth-91-million#3b7b6d1a28a9b51c11f785c43079d3c6')]","('Social media posts share misleading claim that Australia’s Victoria state premier has a net worth of $91 million', 'Social media posts share misleading claim that Australia’s Victoria state premier has a net worth of $91 million', [('eng', 1.0)])"
147095,"('Vox criticó en su Twitter a los periodistas españoles asesinados en Burkina Faso', 'Vox criticized the Spanish journalists murdered in Burkina Faso on its Twitter', [('spa', 1.0)])","[(1619804160.0, 'https://factual.afp.com/no-hay-registro-de-un-tuit-de-vox-contra-los-periodistas-espanoles-asesinados-en-burkina-faso#85ad5c66d50e23b4e37a4f48e2d39a07')]","('No hay registro de un tuit de Vox contra los periodistas españoles asesinados en Burkina Faso', 'There is no record of a Vox tweet against the Spanish journalists murdered in Burkina Faso', [('spa', 1.0)])"
83718,"('Liberação da cloroquina/hidroxicloroquina pela Anvisa, já com posologia para tratamento da COVID-19', 'Release of chloroquine/hydroxychloroquine by Anvisa, already with dosage for the treatment of COVID-19', [('por', 1.0)])","[(1585690860.0, 'https://checamos.afp.com/autorizacao-concedida-pela-anvisa-foi-para-pesquisa-com-hidroxicloroquina-no-tratamento-da-covid-19#13f7b6ec0802f99ec58f6a570f2dd4a0')]","('A autorização concedida pela Anvisa foi para pesquisa com hidroxicloroquina no tratamento da COVID-19', 'The authorization granted by Anvisa was for research with hydroxychloroquine in the treatment of COVID-19', [('por', 1.0)])"
33419,"('Burung gagak berdatangan ke AS saat pandemi COVID-19', 'Crows flock to the US during the COVID-19 pandemic', [('msa', 1.0)])","[(1589968380.0, 'https://periksafakta.afp.com/video-ini-memperlihatkan-kawanan-burung-hitam-di-texas-pada-tahun-2016#c49a2d821b8f9d8c5d532bbd08b0e597')]","('Video ini memperlihatkan kawanan burung hitam di Texas pada tahun 2016', 'This video shows a flock of blackbirds in Texas in 2016', [('msa', 1.0)])"
14893,"('A man charged with murder in NC is the younger brother of George Floyd', 'A man charged with murder in NC is the younger brother of George Floyd', [('eng', 1.0)])","[(1618432031.0, 'https://www.usatoday.com/story/news/factcheck/2021/04/14/fact-check-man-charged-nc-murder-not-george-floyds-brother/7223238002/#d68f4bbb67a30c3467eee85b6ae7e8a7')]","(""Fact check: Man charged with murder in North Carolina is not George Floyd's brother"", ""Fact check: Man charged with murder in North Carolina is not George Floyd's brother"", [('eng', 1.0)])"
