,fact_check_id,post_id
6255,49421,22496
15773,86463,4598
20887,110057,24074
19961,105568,3996
28347,152561,25374
4440,39886,10241
20848,109828,2056
2515,29851,6661
17913,97189,7295
30247,193362,25085
19578,104075,7420
3813,36606,7076
19651,104208,24793
4647,41146,27307
24239,134029,25655
19084,102956,6428
4451,40020,7810
925,17934,4390
24,988,14979
15780,86483,10722
684,14103,6105
20483,107301,984
1693,25022,12115
775,14624,14556
21919,118281,5256
28378,153628,14
27823,148535,1761
28686,157967,2341
5698,45650,19689
8463,54227,17265
322,10132,20476
8094,53838,16678
887,17563,12081
2265,28295,15440
16699,91103,24013
21843,115750,973
19555,104009,6459
23495,132064,12068
21125,111141,17181
12128,71065,11980
591,13223,10908
8859,54546,15533
22418,121058,24151
21471,113605,5240
5336,44519,8929
25185,137925,7491
3965,36763,7639
13878,80534,10991
20470,107244,24212
270,9657,2346
19700,104268,25508
11514,67346,11710
10525,61929,5446
26884,143776,23281
5717,45669,897
15917,87248,953
19901,105448,6374
29804,176940,23708
25526,138988,8661
15752,86409,13787
15404,84601,17037
1479,22903,5162
14737,82496,2309
26795,143499,20172
13046,77131,12644
24382,135904,19511
25785,140152,12610
13782,80344,18483
8812,54520,10964
12885,75737,27943
17458,95535,8149
22216,119924,15266
7085,51273,11516
5021,43404,16169
4408,39716,1646
29203,166740,23138
13103,77463,25609
25677,139464,14030
24536,136226,1402
17970,97519,9346
5580,45450,20117
7681,52866,142
10976,64025,11046
20772,109407,19243
23736,132307,24093
16857,92150,14942
11391,66285,15469
1891,26229,17251
4415,39737,18119
24497,136107,17114
16624,90603,6148
18324,99954,22820
27815,148513,831
6504,50341,27813
3268,34814,19584
26156,141194,16478
15060,83451,18949
26198,141226,3642
12898,75778,17006
19922,105476,10766
